date,adults
2015-07-01,103
2015-07-02,38
2015-07-03,37
2015-07-04,47
2015-07-05,37
2015-07-06,43
2015-07-07,29
2015-07-08,45
2015-07-09,30
2015-07-10,42
2015-07-11,62
2015-07-12,39
2015-07-13,46
2015-07-14,24
2015-07-15,56
2015-07-16,42
2015-07-17,108
2015-07-18,77
2015-07-19,36
2015-07-20,54
2015-07-21,27
2015-07-22,46
2015-07-23,66
2015-07-24,49
2015-07-25,101
2015-07-26,32
2015-07-27,73
2015-07-28,28
2015-07-29,34
2015-07-30,41
2015-07-31,52
2015-08-01,60
2015-08-02,43
2015-08-03,73
2015-08-04,39
2015-08-05,90
2015-08-06,48
2015-08-07,77
2015-08-08,107
2015-08-09,72
2015-08-10,129
2015-08-11,89
2015-08-12,85
2015-08-13,55
2015-08-14,119
2015-08-15,101
2015-08-16,74
2015-08-17,108
2015-08-18,76
2015-08-19,58
2015-08-20,61
2015-08-21,62
2015-08-22,81
2015-08-23,62
2015-08-24,84
2015-08-25,67
2015-08-26,75
2015-08-27,39
2015-08-28,59
2015-08-29,89
2015-08-30,49
2015-08-31,80
2015-09-01,83
2015-09-02,73
2015-09-03,91
2015-09-04,151
2015-09-05,97
2015-09-06,128
2015-09-07,94
2015-09-08,70
2015-09-09,138
2015-09-10,67
2015-09-11,136
2015-09-12,102
2015-09-13,51
2015-09-14,114
2015-09-15,80
2015-09-16,123
2015-09-17,137
2015-09-18,137
2015-09-19,120
2015-09-20,89
2015-09-21,149
2015-09-22,88
2015-09-23,115
2015-09-24,96
2015-09-25,152
2015-09-26,88
2015-09-27,54
2015-09-28,64
2015-09-29,65
2015-09-30,106
2015-10-01,88
2015-10-02,183
2015-10-03,60
2015-10-04,116
2015-10-05,108
2015-10-06,111
2015-10-07,132
2015-10-08,85
2015-10-09,132
2015-10-10,133
2015-10-11,68
2015-10-12,162
2015-10-13,90
2015-10-14,69
2015-10-15,188
2015-10-16,134
2015-10-17,62
2015-10-18,98
2015-10-19,171
2015-10-20,95
2015-10-21,105
2015-10-22,78
2015-10-23,86
2015-10-24,64
2015-10-25,135
2015-10-26,61
2015-10-27,53
2015-10-28,133
2015-10-29,76
2015-10-30,69
2015-10-31,98
2015-11-01,55
2015-11-02,55
2015-11-03,65
2015-11-04,45
2015-11-05,55
2015-11-06,87
2015-11-07,80
2015-11-08,45
2015-11-09,48
2015-11-10,39
2015-11-11,51
2015-11-12,45
2015-11-13,30
2015-11-14,33
2015-11-15,24
2015-11-16,63
2015-11-17,74
2015-11-18,162
2015-11-19,46
2015-11-20,134
2015-11-21,81
2015-11-22,37
2015-11-23,152
2015-11-24,65
2015-11-25,43
2015-11-26,51
2015-11-27,116
2015-11-28,49
2015-11-29,15
2015-11-30,48
2015-12-01,45
2015-12-02,56
2015-12-03,60
2015-12-04,78
2015-12-05,257
2015-12-06,45
2015-12-07,23
2015-12-08,26
2015-12-09,70
2015-12-10,78
2015-12-11,46
2015-12-12,41
2015-12-13,15
2015-12-14,36
2015-12-15,26
2015-12-16,42
2015-12-17,43
2015-12-18,42
2015-12-19,55
2015-12-20,28
2015-12-21,38
2015-12-22,55
2015-12-23,55
2015-12-24,70
2015-12-25,58
2015-12-26,85
2015-12-27,87
2015-12-28,74
2015-12-29,102
2015-12-30,174
2015-12-31,86
2016-01-01,34
2016-01-02,120
2016-01-03,44
2016-01-04,67
2016-01-05,39
2016-01-06,44
2016-01-07,42
2016-01-08,49
2016-01-09,42
2016-01-10,42
2016-01-11,40
2016-01-12,58
2016-01-13,44
2016-01-14,85
2016-01-15,67
2016-01-16,55
2016-01-17,31
2016-01-18,51
2016-01-19,110
2016-01-20,59
2016-01-21,55
2016-01-22,52
2016-01-23,65
2016-01-24,31
2016-01-25,67
2016-01-26,60
2016-01-27,70
2016-01-28,69
2016-01-29,70
2016-01-30,48
2016-01-31,31
2016-02-01,50
2016-02-02,50
2016-02-03,71
2016-02-04,88
2016-02-05,102
2016-02-06,169
2016-02-07,92
2016-02-08,74
2016-02-09,56
2016-02-10,66
2016-02-11,75
2016-02-12,159
2016-02-13,159
2016-02-14,92
2016-02-15,74
2016-02-16,70
2016-02-17,74
2016-02-18,75
2016-02-19,160
2016-02-20,94
2016-02-21,51
2016-02-22,94
2016-02-23,60
2016-02-24,70
2016-02-25,100
2016-02-26,124
2016-02-27,180
2016-02-28,113
2016-02-29,57
2016-03-01,95
2016-03-02,123
2016-03-03,86
2016-03-04,136
2016-03-05,100
2016-03-06,58
2016-03-07,120
2016-03-08,101
2016-03-09,119
2016-03-10,86
2016-03-11,138
2016-03-12,104
2016-03-13,85
2016-03-14,105
2016-03-15,95
2016-03-16,102
2016-03-17,134
2016-03-18,116
2016-03-19,127
2016-03-20,137
2016-03-21,126
2016-03-22,91
2016-03-23,96
2016-03-24,185
2016-03-25,109
2016-03-26,60
2016-03-27,80
2016-03-28,131
2016-03-29,101
2016-03-30,104
2016-03-31,168
2016-04-01,80
2016-04-02,70
2016-04-03,70
2016-04-04,153
2016-04-05,86
2016-04-06,151
2016-04-07,120
2016-04-08,130
2016-04-09,151
2016-04-10,87
2016-04-11,129
2016-04-12,97
2016-04-13,113
2016-04-14,80
2016-04-15,109
2016-04-16,120
2016-04-17,101
2016-04-18,166
2016-04-19,79
2016-04-20,148
2016-04-21,89
2016-04-22,134
2016-04-23,122
2016-04-24,86
2016-04-25,93
2016-04-26,134
2016-04-27,107
2016-04-28,125
2016-04-29,142
2016-04-30,149
2016-05-01,63
2016-05-02,181
2016-05-03,74
2016-05-04,102
2016-05-05,149
2016-05-06,92
2016-05-07,99
2016-05-08,100
2016-05-09,132
2016-05-10,102
2016-05-11,105
2016-05-12,150
2016-05-13,106
2016-05-14,107
2016-05-15,134
2016-05-16,154
2016-05-17,159
2016-05-18,88
2016-05-19,169
2016-05-20,115
2016-05-21,124
2016-05-22,104
2016-05-23,112
2016-05-24,99
2016-05-25,89
2016-05-26,213
2016-05-27,52
2016-05-28,63
2016-05-29,135
2016-05-30,143
2016-05-31,113
2016-06-01,90
2016-06-02,143
2016-06-03,120
2016-06-04,98
2016-06-05,63
2016-06-06,200
2016-06-07,67
2016-06-08,89
2016-06-09,113
2016-06-10,138
2016-06-11,82
2016-06-12,94
2016-06-13,100
2016-06-14,89
2016-06-15,134
2016-06-16,89
2016-06-17,145
2016-06-18,90
2016-06-19,91
2016-06-20,124
2016-06-21,106
2016-06-22,94
2016-06-23,72
2016-06-24,222
2016-06-25,53
2016-06-26,168
2016-06-27,101
2016-06-28,97
2016-06-29,67
2016-06-30,107
2016-07-01,101
2016-07-02,85
2016-07-03,87
2016-07-04,108
2016-07-05,95
2016-07-06,96
2016-07-07,85
2016-07-08,95
2016-07-09,100
2016-07-10,89
2016-07-11,112
2016-07-12,91
2016-07-13,92
2016-07-14,90
2016-07-15,93
2016-07-16,111
2016-07-17,90
2016-07-18,131
2016-07-19,80
2016-07-20,92
2016-07-21,154
2016-07-22,86
2016-07-23,140
2016-07-24,92
2016-07-25,116
2016-07-26,85
2016-07-27,84
2016-07-28,99
2016-07-29,87
2016-07-30,161
2016-07-31,84
2016-08-01,148
2016-08-02,94
2016-08-03,104
2016-08-04,104
2016-08-05,92
2016-08-06,100
2016-08-07,95
2016-08-08,143
2016-08-09,88
2016-08-10,76
2016-08-11,97
2016-08-12,119
2016-08-13,114
2016-08-14,96
2016-08-15,114
2016-08-16,106
2016-08-17,91
2016-08-18,147
2016-08-19,93
2016-08-20,138
2016-08-21,116
2016-08-22,121
2016-08-23,77
2016-08-24,97
2016-08-25,103
2016-08-26,109
2016-08-27,83
2016-08-28,116
2016-08-29,113
2016-08-30,89
2016-08-31,94
2016-09-01,114
2016-09-02,109
2016-09-03,110
2016-09-04,83
2016-09-05,133
2016-09-06,76
2016-09-07,59
2016-09-08,97
2016-09-09,96
2016-09-10,88
2016-09-11,122
2016-09-12,129
2016-09-13,148
2016-09-14,91
2016-09-15,177
2016-09-16,119
2016-09-17,91
2016-09-18,132
2016-09-19,144
2016-09-20,125
2016-09-21,158
2016-09-22,116
2016-09-23,100
2016-09-24,60
2016-09-25,122
2016-09-26,167
2016-09-27,93
2016-09-28,100
2016-09-29,106
2016-09-30,136
2016-10-01,65
2016-10-02,109
2016-10-03,132
2016-10-04,100
2016-10-05,108
2016-10-06,174
2016-10-07,117
2016-10-08,70
2016-10-09,144
2016-10-10,146
2016-10-11,133
2016-10-12,150
2016-10-13,145
2016-10-14,148
2016-10-15,57
2016-10-16,148
2016-10-17,109
2016-10-18,99
2016-10-19,87
2016-10-20,153
2016-10-21,106
2016-10-22,73
2016-10-23,167
2016-10-24,100
2016-10-25,133
2016-10-26,106
2016-10-27,96
2016-10-28,159
2016-10-29,160
2016-10-30,133
2016-10-31,117
2016-11-01,85
2016-11-02,115
2016-11-03,91
2016-11-04,113
2016-11-05,104
2016-11-06,93
2016-11-07,134
2016-11-08,75
2016-11-09,64
2016-11-10,104
2016-11-11,144
2016-11-12,94
2016-11-13,101
2016-11-14,119
2016-11-15,81
2016-11-16,95
2016-11-17,101
2016-11-18,137
2016-11-19,103
2016-11-20,58
2016-11-21,149
2016-11-22,59
2016-11-23,87
2016-11-24,81
2016-11-25,128
2016-11-26,84
2016-11-27,49
2016-11-28,88
2016-11-29,73
2016-11-30,48
2016-12-01,76
2016-12-02,125
2016-12-03,119
2016-12-04,58
2016-12-05,112
2016-12-06,57
2016-12-07,74
